====== Run started 12-06-2026 15:52:32.64 ======
12-06-2026 15:52:46.10 | PaymentTerms | DATABASE/TABLE | FC_PAYMENT_TERMS | OK
12-06-2026 15:52:46.18 | PaymentTerms | DATABASE/PROC | SPN_FC_DEL_PAYMENT_TERMS | OK
12-06-2026 15:52:46.25 | PaymentTerms | DATABASE/PROC | SPN_FC_GET_PAYMENT_TERMS | OK
12-06-2026 15:52:46.32 | PaymentTerms | DATABASE/PROC | SPN_FC_INS_PAYMENT_TERMS | OK
12-06-2026 15:52:46.40 | PaymentTerms | DATABASE/PROC | SPN_FC_UPD_PAYMENT_TERMS | OK
12-06-2026 15:52:46.48 | PaymentTerms | BLL/BLL | bPaymentTerms.cs | OK
12-06-2026 15:52:46.57 | PaymentTerms | DAL/DAL | sPaymentTerms.cs | OK
12-06-2026 15:52:46.65 | PaymentTerms | UI/UI_FORM | xpPaymentTerms.cs | OK
12-06-2026 15:52:46.74 | PaymentTerms | UI/DESIGNER | xpPaymentTerms.Designer.cs | OK
12-06-2026 15:52:46.83 | SubledgerType | DATABASE/TABLE | CM_ADDRESS | OK
12-06-2026 15:52:46.90 | SubledgerType | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 15:52:46.98 | SubledgerType | DATABASE/TABLE | CM_COST_HEAD | OK
12-06-2026 15:52:47.05 | SubledgerType | DATABASE/TABLE | CM_COUNTRY | OK
12-06-2026 15:52:47.14 | SubledgerType | DATABASE/TABLE | CM_INTERNAL_ENTITY | OK
12-06-2026 15:52:47.21 | SubledgerType | DATABASE/TABLE | CM_SHARED_MASTER_COMPANIES | OK
12-06-2026 15:52:47.28 | SubledgerType | DATABASE/TABLE | EC_ENTITY_ROLES | OK
12-06-2026 15:52:47.35 | SubledgerType | DATABASE/TABLE | FC_CHART_OF_ACCOUNTS | OK
12-06-2026 15:52:47.43 | SubledgerType | DATABASE/TABLE | FC_SUBLEDGER_ENTITY_ROLES | OK
12-06-2026 15:52:47.50 | SubledgerType | DATABASE/TABLE | FC_SUBLEDGER_TYPE | OK
12-06-2026 15:52:47.64 | SubledgerType | DATABASE/TABLE | FC_SUB_LED_ACCOUNT | OK
12-06-2026 15:52:47.72 | SubledgerType | DATABASE/TABLE | NL_NOMINAL_LEDGER_4_UDSL | OK
12-06-2026 15:52:47.79 | SubledgerType | DATABASE/TABLE | PC_EXT_DOC_FOLDER_FILE_COUNT | OK
